#,Title,Category,Language,Type,URL,Watched?,Notes
341,Quit Porn (Step by Step Guide),Beginner Guides,English,Video,https://www.youtube.com/watch?v=M9HWZI9Y9EI,,
342,The Easy Peasy Way to Quit Pornography,Beginner Guides,English,Video,https://www.youtube.com/watch?v=27H4-pN8e9o,,
343,THE ULTIMATE GUIDE TO QUITTING P*RN in 2024 - PART 1,Beginner Guides,English,Video,https://www.youtube.com/watch?v=hnSeigPuEQY,,
344,You CAN Quit Porn. Here's How.,Beginner Guides,English,Video,https://www.youtube.com/watch?v=2S9ffunULTM,,
345,Porn Recovery Timeline - What Happens to Your Brain in the First 30 Days - Dr. Trish Leigh,Beginner Guides,English,Video,https://www.youtube.com/watch?v=rHdSsdVg4ic,,
346,Sexual Compulsives Anonymous (channel),12-Step / Support Groups,English,Channel,https://www.youtube.com/@SCA-Recovery,,
347,Sex Addiction: Step One of the Twelve Steps | Dr. Doug Weiss,12-Step / Support Groups,English,Video,https://www.youtube.com/watch?v=GsZY9A51r6Q,,
348,Twelve Step Support Groups for Sex Addiction | Dr. Doug Weiss,12-Step / Support Groups,English,Video,https://www.youtube.com/watch?v=czmJdRrygRM,,
349,What to expect at a Sex Addicts Anonymous Meeting,12-Step / Support Groups,English,Video,https://www.youtube.com/watch?v=fWfHiv1bvPs,,
350,Sex Addicts Recovery Podcast (playlist),12-Step / Support Groups,English,Playlist,https://www.youtube.com/playlist?list=PLn0dcZg-Ou7giI4YkXGXsBWDHJgtymw9q,,
351,#104: The 12-Step Experience for Sex and Love Addicts,12-Step / Support Groups,English,Video,https://www.youtube.com/watch?v=uDtnHrAz9Nw,,
352,My Journey Through Sexaholics Anonymous,12-Step / Support Groups,English,Video,https://www.youtube.com/watch?v=DljfJRU4YK4,,
353,Withdrawal & Relapse In SAA Recovery - Sex Addicts Anonymous,12-Step / Support Groups,English,Video,https://www.youtube.com/watch?v=AC_gmmDgoAI,,
354,Bay Area Sex Addicts Anonymous (channel),12-Step / Support Groups,English,Channel,https://www.youtube.com/@bayareasexaddictsanonymous1892,,
355,Sex Addicts Anonymous,12-Step / Support Groups,English,Video,https://www.youtube.com/watch?v=2T_rXG0QUdo,,
356,All benefits for 90 days NoFap (complete guide),30/90-Day Challenges,English,Video,https://www.youtube.com/watch?v=89qKCPfQDwE,,
357,90 days without masturbation and pornography | NoFap challenge can change your life,30/90-Day Challenges,English,Video,https://www.youtube.com/watch?v=-ddd23bv8fs,,
358,90 Days of NoFap | Quitting Internet Pornography,30/90-Day Challenges,English,Video,https://www.youtube.com/watch?v=6xPEShgWgjE,,
359,All benefits for 30 days NoFap (complete guide),30/90-Day Challenges,English,Video,https://www.youtube.com/watch?v=48srZi3Fk1M,,
360,90 Days of NoFap (4 Life-Changing Benefits),30/90-Day Challenges,English,Video,https://www.youtube.com/watch?v=15hwmRndjL4,,
361,What Quitting Porn For 90 Days Does To Your Brain,30/90-Day Challenges,English,Video,https://www.youtube.com/watch?v=pOK2CuLTw2Y,,
362,3 Scientific Benefits of NoFap (Truth After 90 Days),30/90-Day Challenges,English,Video,https://www.youtube.com/watch?v=nIpaxRXA9Jo,,
363,Benefits of NoFap 90 Days Challenge,30/90-Day Challenges,English,Video,https://www.youtube.com/watch?v=pPyaHMXkTXk,,
364,What Happens When You Quit Porn for 30 Days,30/90-Day Challenges,English,Video,https://www.youtube.com/watch?v=baMKuz9ecvU,,
365,"Neurodivergence and Porn Viewing - Understanding ADHD, Autism, and OCD",ADHD / Autism / OCD,English,Video,https://www.youtube.com/watch?v=fZIVyRsJDK0,,
366,"Porn, Autism, and ADHD - Embracing Neurodiversity (with Candice Christiansen)",ADHD / Autism / OCD,English,Video,https://www.youtube.com/watch?v=frItn-A5cSc,,
367,Porn Addiction and ADHD (w/ Dr. Trish Leigh),ADHD / Autism / OCD,English,Short,https://www.youtube.com/shorts/_q98O_9HNsE,,
368,"Porn & Sex Addiction, Sexuality & Autism with Candice Christiansen",ADHD / Autism / OCD,English,Video,https://www.youtube.com/watch?v=Cpxk8AgyanY,,
369,Porn Induced ADHD is REAL - Dr. Trish Leigh,ADHD / Autism / OCD,English,Short,https://www.youtube.com/shorts/E1KmjxPwusk,,
370,People Are Getting ADDICTED To AI Chatbot Lovers,AI Porn / Digital Intimacy,English,Video,https://www.youtube.com/watch?v=fsHcHr7OqI0,,
371,How AI Porn Can Interfere with Our Love Life,AI Porn / Digital Intimacy,English,Video,https://www.youtube.com/watch?v=VUoILWeoOLU,,
372,"AI Porn Shift by ChatGPT is Shocking, Says Pandorabots CEO",AI Porn / Digital Intimacy,English,Video,https://www.youtube.com/watch?v=NNKz8Hyoy9Q,,
373,"Wie gefaehrlich sind Sex-Bots, AI-Pornos und KI-Freunde? Jessica Szczuka",AI Porn / Digital Intimacy,German,Video,https://www.youtube.com/watch?v=YK109ceTnpo,,
374,Concerns grow over access for youth to AI chatbots designed to simulate sexual intimacy,AI Porn / Digital Intimacy,English,Video,https://www.youtube.com/watch?v=pDOTi24xTfI,,
375,Addicted To Her AI Boyfriend,AI Porn / Digital Intimacy,English,Video,https://www.youtube.com/watch?v=0WS68I6PY-4,,
376,I'm Addicted to AI Porn,AI Porn / Digital Intimacy,English,Video,https://www.youtube.com/watch?v=TINhK4ZucPs,,
377,The Reason People Fall in Love with AI is Dumber Than We Thought,AI Porn / Digital Intimacy,English,Video,https://www.youtube.com/watch?v=unZwULIS6RQ,,
378,People are getting too attached to AI,AI Porn / Digital Intimacy,English,Video,https://www.youtube.com/watch?v=E1rHbyZ03T0,,
379,I am Addicted to AI Girlfriend Chatbots,AI Porn / Digital Intimacy,English,Video,https://www.youtube.com/watch?v=UZJeBXVU0Fc,,
380,Porn Addiction Is NOT Sex Addiction - SASH Conference,Academic / Conference,English,Video,https://www.youtube.com/watch?v=m9n-hs83AsY,,
381,The Heart of the Matter - Full Presentation on Recovery from Sexual Addiction,Academic / Conference,English,Video,https://www.youtube.com/watch?v=5EgztA-Racs,,
382,2026 Consortium on Substance Use and Addiction Conference - Research Talks,Academic / Conference,English,Video,https://www.youtube.com/watch?v=s_Cn94qtwxE,,
383,"ATSA Conference - Day 1, Part 2",Academic / Conference,English,Video,https://www.youtube.com/watch?v=hFol2Tg0krs,,
384,ATSA Public Engagement (channel),Academic / Conference,English,Channel,https://www.youtube.com/@atsapublicengagement7169,,
385,Ruth Institute (channel),Advocacy / Public Health,English,Channel,https://www.youtube.com/@RuthInstitute,,
386,Culture Reframed (channel),Advocacy / Public Health,English,Channel,https://www.youtube.com/c/culturereframedorg,,
387,What You Need to Know About Kids and Porn - Culture Reframed,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=nSWtL8Ng_uU,,
388,CULTURE REFRAMED and Dr. Bethany Mohr,Advocacy / Public Health,English,Short,https://www.youtube.com/shorts/xQPMCqbTT9E,,
389,Dr. Gail Dines explains how the porn industry shapes sexual templates,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=ppyGjZlAkvI,,
390,Introducing Culture Reframed's Porn-Critical Sex Education,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=mOpNmtgAzCs,,
391,Defend Dignity - Porn as a Public Health Crisis,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=SfwKXRjxsBQ,,
392,Ep. 37 Porn Culture - Gail Dines Founder of Culture Reframed & Robert Rabbin,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=T9PuxFaJv6U,,
393,Ran Gavrieli's Testimony - Why I stopped watching porn,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=0HKK1dmeZ-E,,
394,The Truth About P*rn (ft. Gail Dines),Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=JIEmlVw96Xo,,
395,"Gail Dines, Ph.D. Interview - Truth About Porn",Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=qGb_h-d1b9A,,
396,Dr. Gail Dines Explores How Hypersexualized Media Legitimizes Prostitution,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=XW2OOXMufkQ,,
397,Why I stopped watching porn - Ran Gavrieli at TEDxJaffa 2013,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=1Ip0_bhb300,,
398,Dr. Gail Dines - Nova Scotia Women's Summit,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=-Z5iANEfQUU,,
399,Dr. Gail Dines videos (playlist),Advocacy / Public Health,English,Playlist,https://www.youtube.com/playlist?list=PLT15KY_XU0A_D2l5Z4GjExfw7GZpWTij_,,
400,Gail Dines Explains the Industry - PORN & How Toxic It Is To Our Culture,Advocacy / Public Health,English,Video,https://www.youtube.com/watch?v=1KnqsQLALsU,,
401,Porn Addiction is Finishing the Youth of South Africa,Africa,English,Short,https://www.youtube.com/shorts/huIB56yXr6U,,
402,SOUTH AFRICA PORN ADDICTION - PORN AT WORK AND CHURCH - SOCIAL MEDIA TRIGGERS - REHAB,Africa,English,Video,https://www.youtube.com/watch?v=D-0sjJHOlrI,,
403,Experts Tackle Increasing Revenge P*rn In Nigeria,Africa,English,Video,https://www.youtube.com/watch?v=2h0Jnx3Bp4Y,,
404,Porn Addiction is Not About Sex (How to Break Free) - Pastor Dolapo Lawal,Africa,English,Video,https://www.youtube.com/watch?v=y1wiompn8ao,,
405,I Battled Porn Addiction - Pastor Isaac Oyedepo Opens Up,Africa,English,Video,https://www.youtube.com/watch?v=dkeTuQEND_8,,
406,YOUNG PASTOR ADDICTED TO SEEING NAKED WOMEN,Africa,English,Video,https://www.youtube.com/watch?v=wbvWzgvxVow,,
407,Ghana to introduce mandatory ID checks for pornographic websites - Sam George,Africa,English,Video,https://www.youtube.com/watch?v=7ByxQ4hAbDo,,
408,كيف نتخلص من إدمان الإباحية - محمد بن شمس الدين,Arabic,Arabic,Video,https://www.youtube.com/watch?v=Vd24PRiSL_M,,
409,كيف تتخلص من إدمان مشاهدة الإباحية - مصطفى حسني,Arabic,Arabic,Video,https://www.youtube.com/watch?v=p3o_wTv4cW0,,
410,الطريق إلى الحرية - كيف تتوقف عن مشاهدة الإباحية؟,Arabic,Arabic,Video,https://www.youtube.com/watch?v=dlq4jKUrJ-0,,
411,فاهم 52 - كيف تنقذ نفسك من إدمان الإباحية؟ مع د. محمد عبد الجواد,Arabic,Arabic,Video,https://www.youtube.com/watch?v=NqCQkjgFMqQ,,
412,طريقة التخلص من إدمان مشاهدة المواقع والأفلام الإباحية - فتاوى الناس,Arabic,Arabic,Video,https://www.youtube.com/watch?v=aN_Os_YnbiE,,
413,تخلص من إدمان الإباحية للأبد - محاضرة التعافي - بودكاست بهدوء مع كريم,Arabic,Arabic,Video,https://www.youtube.com/watch?v=WZe2e7x5iyU,,
414,أقوى 8 خطوات تخليك تبطل الإباحية نهائيا,Arabic,Arabic,Video,https://www.youtube.com/watch?v=y3rb67qqDSg,,
415,التعافي من الإباحية والعادة السرية بأسبوع واحد؟!,Arabic,Arabic,Video,https://www.youtube.com/watch?v=GLjKZNXjjTc,,
416,Pharmastan - How to break free from porn addiction?,Arabic,Arabic,Video,https://www.youtube.com/watch?v=792_AtuCoTQ,,
417,حصة علاج إدمان الإباحية التي لن تحتاج غيرها,Arabic,Arabic,Video,https://www.youtube.com/watch?v=X6ncck5lwuA,,
418,পর্ন আসক্তি থেকে মুক্তি সম্ভব - মো সাদেক হোসেন মিনহাজ - Bangla Book Review,Bengali,Bengali,Video,https://www.youtube.com/watch?v=XU9xR-IVSNg,,
419,পর্নোগ্রাফি থেকে মুক্তির সহজ উপায় - Zannatul Ferdous Psychologist,Bengali,Bengali,Video,https://www.youtube.com/watch?v=6UQN1J8lmV8,,
420,৭ দিনে পর্ন ও হস্তমৈথুনের আসক্তি থেকে মুক্তি - Dr. Asif Anowar,Bengali,Bengali,Video,https://www.youtube.com/watch?v=R-D9OLXuFJ8,,
421,পর্নোগ্রাফি আসক্তি থেকে বাঁচার সহজ উপায় - ডাঃ শাহনাজ চৌধুরী,Bengali,Bengali,Video,https://www.youtube.com/watch?v=ufCjtlyq6i8,,
422,পর্ণ আসক্তি থেকে মুক্তির উপায় - এনামুল হক চৌধুরী - AT-TAQWA MASJID,Bengali,Bengali,Video,https://www.youtube.com/watch?v=TCq8_RBYPVk,,
423,পর্ন আসক্তি থেকে মুক্তির ১৪টি উপায় - Dr. Golam Mostofa Milon,Bengali,Bengali,Video,https://www.youtube.com/watch?v=VX5RhZ5CbwI,,
